event_month,views,carts,purchases,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
2020-09,25640,1412,1007,0.055070202808112326,0.7131728045325779,0.03927457098283931
2020-10,146414,8728,6276,0.05961178575819252,0.7190650779101742,0.042864753370579316
2020-11,170082,10435,7574,0.06135275925729942,0.7258265452803067,0.04453146129513999
2020-12,136719,9342,6529,0.0683299321966954,0.698886748019696,0.04775488410535478
2021-01,166431,12695,8315,0.07627785688964195,0.6549822764868058,0.04996064435111247
2021-02,147813,11420,7642,0.07725978093943023,0.6691768826619965,0.051700459364196656
